algorithm,seed,frame,episode_return_ext
DQN,0,18,18.0
DQN,0,34,16.0
DQN,0,45,11.0
DQN,0,58,13.0
DQN,0,67,9.0
DQN,0,81,14.0
DQN,0,108,27.0
DQN,0,133,25.0
DQN,0,146,13.0
DQN,0,162,16.0
DQN,0,192,30.0
DQN,0,201,9.0
DQN,0,216,15.0
DQN,0,226,10.0
DQN,0,250,24.0
DQN,0,264,14.0
DQN,0,274,10.0
DQN,0,291,17.0
DQN,0,308,17.0
DQN,0,338,30.0
DQN,0,349,11.0
DQN,0,364,15.0
DQN,0,379,15.0
DQN,0,395,16.0
DQN,0,408,13.0
DQN,0,428,20.0
DQN,0,439,11.0
DQN,0,456,17.0
DQN,0,470,14.0
DQN,0,487,17.0
DQN,0,499,12.0
DQN,0,509,10.0
DQN,0,521,12.0
DQN,0,533,12.0
DQN,0,546,13.0
DQN,0,556,10.0
DQN,0,565,9.0
DQN,0,577,12.0
DQN,0,588,11.0
DQN,0,598,10.0
DQN,0,609,11.0
DQN,0,618,9.0
DQN,0,627,9.0
DQN,0,643,16.0
DQN,0,656,13.0
DQN,0,665,9.0
DQN,0,675,10.0
DQN,0,686,11.0
DQN,0,697,11.0
DQN,0,708,11.0
DQN,0,718,10.0
DQN,0,729,11.0
DQN,0,739,10.0
DQN,0,750,11.0
DQN,0,763,13.0
DQN,0,771,8.0
DQN,0,780,9.0
DQN,0,793,13.0
DQN,0,803,10.0
DQN,0,813,10.0
DQN,0,823,10.0
DQN,0,833,10.0
DQN,0,846,13.0
DQN,0,855,9.0
DQN,0,865,10.0
DQN,0,878,13.0
DQN,0,887,9.0
DQN,0,897,10.0
DQN,0,907,10.0
DQN,0,923,16.0
DQN,0,935,12.0
DQN,0,950,15.0
DQN,0,959,9.0
DQN,0,968,9.0
DQN,0,978,10.0
DQN,0,986,8.0
DQN,0,996,10.0
DQN,0,1005,9.0
DQN,0,1014,9.0
DQN,0,1027,13.0
DQN,0,1038,11.0
DQN,0,1047,9.0
DQN,0,1064,17.0
DQN,0,1073,9.0
DQN,0,1082,9.0
DQN,0,1095,13.0
DQN,0,1104,9.0
DQN,0,1115,11.0
DQN,0,1125,10.0
DQN,0,1138,13.0
DQN,0,1147,9.0
DQN,0,1170,23.0
DQN,0,1180,10.0
DQN,0,1190,10.0
DQN,0,1224,34.0
DQN,0,1235,11.0
DQN,0,1252,17.0
DQN,0,1267,15.0
DQN,0,1277,10.0
DQN,0,1287,10.0
DQN,0,1295,8.0
DQN,0,1334,39.0
DQN,0,1346,12.0
DQN,0,1367,21.0
DQN,0,1377,10.0
DQN,0,1387,10.0
DQN,0,1401,14.0
DQN,0,1410,9.0
DQN,0,1442,32.0
DQN,0,1471,29.0
DQN,0,1482,11.0
DQN,0,1491,9.0
DQN,0,1516,25.0
DQN,0,1534,18.0
DQN,0,1544,10.0
DQN,0,1553,9.0
DQN,0,1566,13.0
DQN,0,1575,9.0
DQN,0,1583,8.0
DQN,0,1596,13.0
DQN,0,1609,13.0
