seed,step,eval_return
0,1000,37.2
0,2000,28.6
0,3000,42.0
0,4000,76.8
0,5000,134.2
0,6000,74.4
0,7000,114.8
0,8000,178.0
0,9000,204.4
0,10000,159.2
0,11000,157.8
0,12000,115.6
0,13000,130.0
0,14000,159.2
0,15000,224.4
0,16000,129.0
0,17000,213.4
0,18000,203.2
0,19000,182.6
0,20000,272.2
0,21000,178.2
0,22000,100.0
0,23000,178.2
0,24000,200.2
0,25000,114.2
0,26000,139.2
0,27000,109.0
0,28000,204.6
0,29000,214.4
0,30000,268.4
0,31000,427.2
0,32000,454.0
0,33000,394.8
0,34000,435.2
0,35000,366.2
0,36000,413.0
0,37000,336.0
0,38000,258.4
0,39000,421.8
0,40000,377.8
0,41000,481.6
0,42000,465.4
0,43000,398.6
0,44000,445.0
0,45000,498.8
0,46000,412.4
0,47000,500.0
0,48000,421.6
0,49000,433.8
0,50000,462.4
1,1000,40.6
1,2000,40.8
1,3000,36.6
1,4000,32.2
1,5000,51.2
1,6000,70.6
1,7000,95.0
1,8000,97.2
1,9000,85.8
1,10000,141.6
1,11000,171.0
1,12000,87.6
1,13000,171.6
1,14000,219.2
1,15000,226.4
1,16000,219.2
1,17000,80.6
1,18000,153.6
1,19000,215.0
1,20000,218.2
1,21000,230.2
1,22000,222.4
1,23000,140.0
1,24000,156.4
1,25000,313.6
1,26000,200.4
1,27000,382.6
1,28000,324.0
1,29000,148.2
1,30000,139.0
1,31000,326.6
1,32000,288.2
1,33000,240.6
1,34000,334.6
1,35000,341.0
1,36000,237.8
1,37000,226.0
1,38000,195.4
1,39000,217.2
1,40000,273.4
1,41000,209.6
1,42000,148.0
1,43000,237.0
1,44000,240.6
1,45000,251.2
1,46000,466.0
1,47000,433.0
1,48000,229.4
1,49000,307.6
1,50000,376.6
2,1000,21.0
2,2000,27.4
2,3000,39.6
2,4000,71.0
2,5000,130.4
2,6000,142.6
2,7000,204.8
2,8000,173.8
2,9000,70.6
2,10000,112.4
2,11000,132.2
2,12000,163.6
2,13000,221.6
2,14000,166.6
2,15000,208.8
2,16000,326.2
2,17000,310.2
2,18000,148.2
2,19000,199.0
2,20000,331.2
2,21000,246.6
2,22000,194.6
2,23000,170.0
2,24000,126.4
2,25000,97.6
2,26000,112.0
2,27000,248.6
2,28000,281.2
2,29000,318.8
2,30000,391.4
2,31000,277.6
2,32000,388.2
2,33000,302.4
2,34000,385.4
2,35000,437.6
2,36000,312.4
2,37000,272.8
2,38000,163.4
2,39000,307.2
2,40000,322.8
2,41000,460.8
2,42000,262.0
2,43000,391.2
2,44000,365.8
2,45000,348.2
2,46000,321.6
2,47000,476.6
2,48000,500.0
2,49000,500.0
2,50000,496.0
3,1000,53.0
3,2000,48.4
3,3000,50.8
3,4000,71.0
3,5000,100.8
3,6000,90.8
3,7000,103.2
3,8000,136.8
3,9000,168.4
3,10000,206.8
3,11000,186.0
3,12000,203.0
3,13000,290.4
3,14000,224.8
3,15000,324.4
3,16000,273.6
3,17000,289.2
3,18000,236.4
3,19000,117.8
3,20000,314.8
3,21000,304.6
3,22000,348.2
3,23000,377.8
3,24000,410.6
3,25000,191.0
3,26000,283.0
3,27000,281.6
3,28000,339.4
3,29000,198.2
3,30000,350.4
3,31000,380.2
3,32000,365.0
3,33000,462.0
3,34000,460.0
3,35000,363.0
3,36000,399.6
3,37000,305.8
3,38000,303.4
3,39000,400.0
3,40000,500.0
3,41000,479.8
3,42000,470.0
3,43000,491.0
3,44000,500.0
3,45000,309.4
3,46000,300.2
3,47000,207.8
3,48000,265.4
3,49000,481.8
3,50000,432.6
4,1000,20.6
4,2000,44.0
4,3000,85.2
4,4000,101.8
4,5000,191.4
4,6000,116.8
4,7000,139.6
4,8000,140.0
4,9000,133.8
4,10000,83.4
4,11000,155.6
4,12000,185.8
4,13000,249.0
4,14000,148.0
4,15000,188.8
4,16000,297.0
4,17000,301.0
4,18000,354.0
4,19000,281.2
4,20000,215.4
4,21000,359.6
4,22000,237.2
4,23000,415.0
4,24000,265.8
4,25000,473.6
4,26000,278.0
4,27000,247.0
4,28000,160.2
4,29000,88.2
4,30000,134.4
4,31000,257.8
4,32000,416.6
4,33000,456.8
4,34000,500.0
4,35000,500.0
4,36000,476.6
4,37000,365.8
4,38000,457.6
4,39000,500.0
4,40000,500.0
