step,n,mean,median,iqm,std,se,ci95,ci95_width,group
1000,5,34.480000000000004,37.2,32.93333333333334,13.804057374554773,6.173362130962349,12.099789776686205,24.19957955337241,Low A (5 seeds)
2000,5,37.84,40.8,37.800000000000004,9.38871663221337,4.198761722222398,8.229572975555898,16.459145951111797,Low A (5 seeds)
3000,5,50.839999999999996,42.0,44.133333333333326,19.924055812007754,8.910308636629821,17.464204927794448,34.928409855588896,Low A (5 seeds)
4000,5,70.56,71.0,72.93333333333334,24.93367201196005,11.150677109485324,21.855327134591235,43.71065426918247,Low A (5 seeds)
5000,5,121.6,130.4,121.8,51.2275316602313,22.909648622359967,44.90291129982553,89.80582259965107,Low A (5 seeds)
6000,5,99.04,90.8,94.0,30.400460522827608,13.595499255268265,26.6471785403258,53.2943570806516,Low A (5 seeds)
7000,5,131.48000000000002,114.8,119.2,44.30160267981284,19.81227902084967,38.83206688086535,77.6641337617307,Low A (5 seeds)
8000,5,145.16,140.0,150.20000000000002,32.769620077138526,14.65501961786473,28.72383845101487,57.44767690202974,Low A (5 seeds)
9000,5,132.6,133.8,129.33333333333334,55.840308022073096,24.972544924376454,48.946188051777845,97.89237610355569,Low A (5 seeds)
10000,5,140.68,141.6,137.73333333333332,46.89469053101854,20.97194316223463,41.105008597979875,82.21001719595975,Low A (5 seeds)
11000,5,160.52,157.8,161.46666666666667,19.954247668103154,8.923810845149063,17.490669256492165,34.98133851298433,Low A (5 seeds)
12000,5,151.11999999999998,163.6,155.0,48.33851466480947,21.617640944376888,42.3705762509787,84.7411525019574,Low A (5 seeds)
13000,5,212.51999999999998,221.6,214.0666666666667,63.17144924726676,28.251130950813277,55.372216663594024,110.74443332718805,Low A (5 seeds)
14000,5,183.56,166.6,181.66666666666666,35.7648989932867,15.99454907148057,31.349316180101916,62.69863236020383,Low A (5 seeds)
15000,5,234.56,224.4,219.86666666666667,52.43708611278851,23.45057781804106,45.96313252336048,91.92626504672096,Low A (5 seeds)
16000,5,249.0,273.6,263.26666666666665,77.71267592870548,34.75416521799941,68.11816382727883,136.23632765455767,Low A (5 seeds)
17000,5,238.88000000000002,289.2,267.8666666666667,96.40970905463827,43.11573262742963,84.50683594976208,169.01367189952416,Low A (5 seeds)
18000,5,219.08,203.2,197.73333333333332,83.76629393735884,37.46142549343257,73.42439396712784,146.84878793425568,Low A (5 seeds)
19000,5,199.11999999999998,199.0,198.86666666666667,58.8964515060118,26.33929384019245,51.6250159267772,103.2500318535544,Low A (5 seeds)
20000,5,270.36,272.2,268.40000000000003,53.43470782178939,23.896727809472157,46.83758650656543,93.67517301313086,Low A (5 seeds)
21000,5,263.84000000000003,246.6,260.46666666666664,69.99005643661107,31.300504788261808,61.34898938499314,122.69797876998628,Low A (5 seeds)
22000,5,220.48000000000002,222.4,218.0666666666667,89.13591868601569,39.86279468376496,78.13107758017932,156.26215516035865,Low A (5 seeds)
23000,5,256.2,178.2,242.0,129.44195610388465,57.888202597765975,113.46087709162131,226.92175418324263,Low A (5 seeds)
24000,5,231.88000000000002,200.2,207.4666666666667,112.82540494055405,50.45705500720389,98.89582781411963,197.79165562823925,Low A (5 seeds)
25000,5,238.0,191.0,206.26666666666665,156.89990439767644,70.16777037928453,137.52882994339768,275.05765988679536,Low A (5 seeds)
26000,5,202.52,200.4,205.86666666666667,78.0737599965571,34.91564692226108,68.43466796763173,136.86933593526345,Low A (5 seeds)
27000,5,253.76000000000005,248.6,259.06666666666666,97.98289646667934,43.81928342636379,85.88579551567302,171.77159103134605,Low A (5 seeds)
28000,5,261.88,281.2,269.93333333333334,77.23556175752204,34.54079327404048,67.69995481711935,135.3999096342387,Low A (5 seeds)
29000,5,193.56000000000003,198.2,186.9333333333333,85.58497531693283,38.27476453226068,75.01853848323094,150.03707696646188,Low A (5 seeds)
30000,5,256.71999999999997,268.4,252.6,118.18549826438097,52.85416161476785,103.59415676494498,207.18831352988997,Low A (5 seeds)
31000,5,333.88,326.6,328.1333333333334,70.46766634421775,31.514098432288993,61.76763292728643,123.53526585457286,Low A (5 seeds)
32000,5,382.4,388.2,389.9333333333334,62.262026950622165,27.844424935703017,54.575072873977916,109.15014574795583,Low A (5 seeds)
33000,5,371.32,394.8,384.6666666666667,97.36360716407339,43.54232883069072,85.34296450815381,170.68592901630763,Low A (5 seeds)
34000,5,423.03999999999996,435.2,426.8666666666666,64.56615212322939,28.874861038626655,56.594727635708246,113.18945527141649,Low A (5 seeds)
35000,5,401.56000000000006,366.2,388.9333333333334,65.94321799851748,29.49070361995454,57.8017790951109,115.6035581902218,Low A (5 seeds)
36000,5,367.88,399.6,375.0,93.35529979599445,41.74975928074317,81.82952819025661,163.65905638051322,Low A (5 seeds)
37000,5,301.28,305.8,304.8666666666667,54.46771520818548,24.35870275692037,47.743057403563924,95.48611480712785,Low A (5 seeds)
38000,5,275.64,258.4,252.39999999999998,115.34031385426347,51.58175646485878,101.1002426711232,202.2004853422464,Low A (5 seeds)
39000,5,369.24,400.0,376.3333333333333,109.28407020238586,48.8733219660788,95.79171105351445,191.5834221070289,Low A (5 seeds)
40000,5,394.8,377.8,400.2,102.88955243366549,46.01360668324099,90.18666909915233,180.37333819830465,Low A (5 seeds)
41000,5,422.8,479.8,474.06666666666666,119.51259347867907,53.44765663712489,104.75740700876477,209.51481401752955,Low A (5 seeds)
42000,5,352.64,417.8,381.7333333333333,142.1505821303592,63.57167293693001,124.60047895638282,249.20095791276563,Low A (5 seeds)
43000,5,389.96,398.6,407.26666666666665,94.14004461439352,42.10070783252937,82.51738735175758,165.03477470351515,Low A (5 seeds)
44000,5,410.28000000000003,445.0,436.93333333333334,109.6296127877865,49.027853308094166,96.09459248386456,192.18918496772912,Low A (5 seeds)
45000,5,381.52,348.2,385.46666666666664,113.01208784904384,50.540542141928,99.05946259817888,198.11892519635776,Low A (5 seeds)
